Head_Status,Head_X,Head_Y,Head_Z,ShoulderCenter_Status,ShoulderCenter_X,ShoulderCenter_Y,ShoulderCenter_Z,ShoulderLeft_Status,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,ElbowLeft_Status,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_Status,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_Status,HandLeft_X,HandLeft_Y,HandLeft_Z,ShoulderRight_Status,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ElbowRight_Status,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_Status,WristRight_X,WristRight_Y,WristRight_Z,HandRight_Status,HandRight_X,HandRight_Y,HandRight_Z,Time
Tracked, -0.005236918, 0.4053836, 1.493902, Tracked, 0.02125117, 0.2208439, 1.582354, Tracked, -0.1748699, 0.1353276, 1.624555, Tracked, -0.2395928, -0.07985227, 1.65924, Tracked, -0.2041823, -0.2366298, 1.535096, Inferred, -0.1923788, -0.2888891, 1.497433, Tracked, 0.2032904, 0.1428589, 1.623793, Tracked, 0.2936213, -0.06670257, 1.652111, Tracked, 0.2525741, -0.2112676, 1.514404, Inferred, 0.2388917, -0.259456, 1.472219, 00:00:00.005
Tracked, -0.005306372, 0.4059015, 1.4938, Tracked, 0.02125449, 0.220875, 1.582344, Tracked, -0.1749043, 0.1353435, 1.624509, Tracked, -0.2395008, -0.07999763, 1.659194, Tracked, -0.2055019, -0.2370519, 1.534997, Inferred, -0.1941689, -0.2894033, 1.497316, Tracked, 0.2033321, 0.1428864, 1.623902, Tracked, 0.2935804, -0.06670178, 1.652121, Tracked, 0.2493131, -0.2090906, 1.513036, Inferred, 0.2345574, -0.2565535, 1.470392, 00:00:00.005
Tracked, -0.005149949, 0.4054901, 1.493749, Tracked, 0.02130288, 0.2208636, 1.582413, Tracked, -0.1748979, 0.1353433, 1.624466, Tracked, -0.23952, -0.07992591, 1.659271, Tracked, -0.2054843, -0.2368505, 1.534901, Inferred, -0.194139, -0.2891587, 1.497162, Tracked, 0.2034508, 0.1427758, 1.624056, Tracked, 0.2934335, -0.06685982, 1.652177, Tracked, 0.2501668, -0.2096537, 1.513197, Inferred, 0.2357446, -0.2572516, 1.470588, 00:00:00.021
Tracked, -0.005106934, 0.4053947, 1.493727, Tracked, 0.02131077, 0.2208487, 1.582472, Tracked, -0.1748883, 0.1353544, 1.624431, Tracked, -0.2395246, -0.07988738, 1.659265, Tracked, -0.2055552, -0.2368196, 1.534882, Inferred, -0.194232, -0.2891304, 1.497139, Tracked, 0.2035338, 0.142713, 1.624168, Tracked, 0.293406, -0.0668564, 1.652338, Tracked, 0.2509462, -0.2100145, 1.513492, Inferred, 0.236793, -0.2577339, 1.470927, 00:00:00.055
Tracked, -0.005107698, 0.405388, 1.493728, Tracked, 0.02127852, 0.2208772, 1.582507, Tracked, -0.1748997, 0.1353552, 1.624424, Tracked, -0.2394724, -0.07994003, 1.659276, Tracked, -0.205715, -0.2370132, 1.535022, Inferred, -0.1944626, -0.2893709, 1.497321, Tracked, 0.2035221, 0.1427194, 1.624214, Tracked, 0.2934089, -0.06671598, 1.652517, Tracked, 0.2508842, -0.2099973, 1.513827, Inferred, 0.2367093, -0.2577577, 1.471315, 00:00:00.087
Tracked, -0.005140309, 0.4053635, 1.493713, Tracked, 0.02119708, 0.2208568, 1.582572, Tracked, -0.1749026, 0.135351, 1.624421, Tracked, -0.2394103, -0.0800807, 1.65934, Tracked, -0.2056171, -0.2370216, 1.534909, Inferred, -0.1943527, -0.2893353, 1.49715, Tracked, 0.2035137, 0.1427172, 1.624245, Tracked, 0.2933328, -0.06675337, 1.652542, Tracked, 0.250996, -0.2102179, 1.513992, Inferred, 0.2368837, -0.2580394, 1.471527, 00:00:00.120
Tracked, -0.005167752, 0.405375, 1.49375, Tracked, 0.02117201, 0.2208595, 1.582622, Tracked, -0.1749118, 0.1353682, 1.624451, Tracked, -0.2394511, -0.08005787, 1.659379, Tracked, -0.2058382, -0.2370559, 1.534969, Inferred, -0.1946339, -0.2893886, 1.497218, Tracked, 0.2034905, 0.1427305, 1.624271, Tracked, 0.2933151, -0.06671491, 1.652523, Tracked, 0.2511827, -0.2103632, 1.514109, Inferred, 0.2371386, -0.2582459, 1.471689, 00:00:00.155
Tracked, -0.005154693, 0.4053608, 1.49384, Tracked, 0.02116458, 0.2208541, 1.582635, Tracked, -0.174929, 0.1353704, 1.624475, Tracked, -0.2394751, -0.0800394, 1.659468, Tracked, -0.2057917, -0.2370664, 1.535117, Inferred, -0.1945639, -0.2894088, 1.497384, Tracked, 0.2034842, 0.1427372, 1.624307, Tracked, 0.2934681, -0.06634428, 1.652553, Tracked, 0.2514892, -0.2103304, 1.514468, Inferred, 0.2374962, -0.2583258, 1.472158, 00:00:00.188
Tracked, -0.005230621, 0.4054927, 1.493903, Tracked, 0.02115533, 0.220854, 1.582637, Tracked, -0.1749333, 0.1353428, 1.624486, Tracked, -0.2395514, -0.0800552, 1.659543, Tracked, -0.2057919, -0.2371295, 1.535276, Inferred, -0.1945387, -0.2894876, 1.497571, Tracked, 0.2034481, 0.1427401, 1.624342, Tracked, 0.2934561, -0.06630635, 1.652576, Tracked, 0.2498478, -0.2093883, 1.514016, Inferred, 0.2353117, -0.2570823, 1.471547, 00:00:00.219
Tracked, -0.005358131, 0.4054751, 1.493888, Tracked, 0.02097458, 0.2207437, 1.582661, Tracked, -0.1749979, 0.1353225, 1.624529, Tracked, -0.2395281, -0.08005532, 1.659572, Tracked, -0.2062971, -0.237367, 1.535475, Inferred, -0.1952201, -0.2898043, 1.497827, Tracked, 0.203416, 0.1427308, 1.624358, Tracked, 0.293513, -0.06639453, 1.652595, Tracked, 0.2502163, -0.2096683, 1.514141, Inferred, 0.2357841, -0.2574262, 1.471708, 00:00:00.255
