Head_Status,Head_X,Head_Y,Head_Z,ShoulderCenter_Status,ShoulderCenter_X,ShoulderCenter_Y,ShoulderCenter_Z,ShoulderLeft_Status,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,ElbowLeft_Status,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_Status,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_Status,HandLeft_X,HandLeft_Y,HandLeft_Z,ShoulderRight_Status,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ElbowRight_Status,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_Status,WristRight_X,WristRight_Y,WristRight_Z,HandRight_Status,HandRight_X,HandRight_Y,HandRight_Z,Time
Tracked,0.3169793,0.2950762,1.401225, Tracked,0.3504197,0.1076685,1.491536, Tracked,0.1710211,0.03656502,1.539562, Tracked,0.0983828,-0.1652509,1.520569, Tracked,0.04496868,-0.3138988,1.402718, Inferred,0.03903603,-0.3458814,1.34915, Tracked,0.5173447,0.01844856,1.465984, Tracked,0.5643712,-0.1959693,1.4301, Tracked,0.4549428,-0.3142948,1.217623, Inferred,0.4184667,-0.3537366,1.150506, 00:00:00.000
Tracked,0.3169791,0.2950732,1.401228, Tracked,0.3504175,0.1076699,1.491534, Tracked,0.1710187,0.03655452,1.539571, Tracked,0.1007728,-0.1660908,1.519554, Tracked,0.04237976,-0.3139381,1.403211, Inferred,0.0364678,-0.3458013,1.349572, Tracked,0.517342,0.01844731,1.465984, Tracked,0.564373,-0.195998,1.43013, Tracked,0.4549556,-0.3142182,1.217587, Inferred,0.4184832,-0.3536249,1.150447, 00:00:00.038
Tracked,0.3170003,0.2950496,1.401253, Tracked,0.3503713,0.1076802,1.491533, Tracked,0.1710199,0.03654918,1.539576, Tracked,0.1020354,-0.1664684,1.519147, Tracked,0.04127096,-0.3138571,1.403506, Inferred,0.03526641,-0.345669,1.34985, Tracked,0.5173349,0.01843545,1.46598, Tracked,0.5643484,-0.1960502,1.430076, Tracked,0.4549237,-0.3142196,1.217507, Inferred,0.4184488,-0.3536094,1.15036, 00:00:00.074
Tracked,0.3169996,0.2950614,1.401278, Tracked,0.3503741,0.1076816,1.491539, Tracked,0.1710253,0.03654858,1.539577, Tracked,0.1002179,-0.165448,1.520284, Tracked,0.04357547,-0.3135725,1.403378, Inferred,0.03745396,-0.3451215,1.349582, Tracked,0.5173412,0.01844038,1.465987, Tracked,0.5643909,-0.1960279,1.429962, Tracked,0.4549102,-0.3141663,1.217407, Inferred,0.4184166,-0.3535457,1.150264, 00:00:00.105
Tracked,0.3170104,0.2951216,1.401344, Tracked,0.3503822,0.1076894,1.491544, Tracked,0.1710262,0.03654632,1.539581, Tracked,0.09909114,-0.1652182,1.520879, Tracked,0.04473741,-0.3135757,1.403103, Inferred,0.03859394,-0.3450602,1.349275, Tracked,0.5173382,0.01843717,1.465987, Tracked,0.5644358,-0.1960133,1.430048, Tracked,0.4549616,-0.3140412,1.217426, Inferred,0.4184702,-0.3533838,1.15026, 00:00:00.137
Tracked,0.3170108,0.2950814,1.401365, Tracked,0.3503929,0.1076927,1.491553, Tracked,0.171027,0.03655487,1.539597, Tracked,0.09823012,-0.1650235,1.521281, Tracked,0.04561589,-0.3135528,1.402874, Inferred,0.0394726,-0.3450254,1.349042, Tracked,0.5173563,0.01845378,1.465993, Tracked,0.5644481,-0.1959723,1.430079, Tracked,0.4549554,-0.313993,1.217463, Inferred,0.4184579,-0.3533332,1.1503, 00:00:00.173
Tracked,0.3170082,0.2950819,1.401373, Tracked,0.3504157,0.1077002,1.491551, Tracked,0.1710354,0.03655949,1.5396, Tracked,0.1003692,-0.1656392,1.520351, Tracked,0.04331195,-0.3135601,1.403385, Inferred,0.03715577,-0.3448943,1.349477, Tracked,0.5173779,0.01847708,1.466014, Tracked,0.5644386,-0.1959687,1.430112, Tracked,0.4549708,-0.3139568,1.217465, Inferred,0.4184815,-0.3532862,1.150291, 00:00:00.204
Tracked,0.3170464,0.2950999,1.401401, Tracked,0.350436,0.1077082,1.491561, Tracked,0.1710534,0.0365541,1.539614, Tracked,0.09915143,-0.1652034,1.521059, Tracked,0.04467744,-0.3134243,1.403157, Inferred,0.03863799,-0.344881,1.349309, Tracked,0.5173765,0.01848287,1.466017, Tracked,0.5644462,-0.1959729,1.430153, Tracked,0.454915,-0.313891,1.2175, Inferred,0.4184047,-0.3531971,1.150325, 00:00:00.241
Tracked,0.3170611,0.2950746,1.401412, Tracked,0.3504374,0.107712,1.49158, Tracked,0.1710555,0.03655521,1.53962, Tracked,0.1009623,-0.1659938,1.52011, Tracked,0.0426719,-0.3135964,1.403374, Inferred,0.03660984,-0.3447616,1.349363, Tracked,0.5173812,0.01844634,1.466015, Tracked,0.5643535,-0.1960523,1.43005, Tracked,0.4548381,-0.3139167,1.217359, Inferred,0.418333,-0.3532048,1.15017, 00:00:00.273
Tracked,0.3170623,0.2950986,1.401435, Tracked,0.3504514,0.1077248,1.4916, Tracked,0.1710581,0.03654802,1.539628, Tracked,0.09956639,-0.1655762,1.5207, Tracked,0.04410002,-0.3136242,1.403071, Inferred,0.03806155,-0.344828,1.349082, Tracked,0.5174165,0.01845038,1.46603, Tracked,0.5644097,-0.1960188,1.430099, Tracked,0.4548725,-0.3138263,1.217386, Inferred,0.4183601,-0.3530955,1.150191, 00:00:00.306
